1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360
0.0,-9.0625,-23.0,322.25,307.75,298.625,284.0,269.6875,255.1875,240.75,226.5,211.5625,196.5625,181.6875,167.125,152.125,136.5625,121.625,106.3125,91.0,76.0,61.1875,46.125,31.25
