Steps,p_-8,p_-7,p_-6,p_-5,p_-4,p_-3,p_-2,p_-1,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,29376,29568,29824,29440,34688,34112,34112,34880,65152,65408,65408,65408,65472,65344,65472,65472
0,29568,29632,29184,29376,34240,34240,34432,34688,65216,65344,65472,65472,65472,65472,65472,65472
0,29312,29440,29568,29376,34112,34432,34240,34048,65088,65280,65280,65408,65408,65472,65408,65408
0,29696,29440,29568,29568,34496,34176,34112,34368,65152,65152,65408,65472,65472,65472,65472,65408
0,29440,29632,29568,29312,34304,34496,34752,34176,65280,65472,65472,65408,65472,65472,65472,65472
0,29888,29568,29760,29440,34368,34560,34112,34368,65152,65152,65472,65408,65408,65408,65472,65408
0,29312,29376,29824,29888,34432,34432,34240,34432,65280,65216,65408,65344,65408,65408,65472,65472
0,29760,29568,29696,29504,34240,34240,34240,34240,65024,65280,65472,65408,65408,65472,65472,65472
0,29632,29760,29312,29568,34880,34752,34368,35008,65152,65344,65344,65408,65408,65472,65408,65472
0,29952,29760,29632,29888,34880,34496,34240,34624,65280,65280,65280,65472,65472,65408,65472,65408
1,42496,43200,42880,43328,30016,30016,30016,29888,30848,32192,35392,42112,50048,58816,65280,65280
1,42752,43392,43392,42816,29696,29824,29824,29888,30848,32512,35328,41536,50112,59200,65472,65472
1,42688,43136,42880,42304,29952,30016,29760,30336,30080,32256,35456,41472,50240,58816,65408,65408
1,42816,42880,42624,42944,29824,29952,29824,30016,30720,32512,35712,41216,50112,58880,65408,65472
1,42688,42880,42752,42688,30144,30208,30080,29824,30464,32256,35328,41536,50496,59200,65472,65472
1,42816,42624,42816,42688,30400,30656,29888,29952,30464,32640,35648,41536,50048,58816,65408,65472
1,42624,42880,42816,42816,30464,29888,29952,30272,30208,32832,35200,41600,49984,59136,65472,65472
1,42880,42624,42752,43328,29888,29824,29952,29696,30400,32576,35456,41472,50496,58880,65472,65408
1,42880,42560,42816,42688,29952,30464,29888,29824,30528,32320,35328,41984,50624,58816,65472,65408
1,42624,43264,42752,42560,29760,29888,29632,29504,31168,32320,35136,42176,50048,59392,65408,65472
2,65472,65472,65344,65344,60352,60352,60416,60352,39296,33536,31104,30784,29632,29184,29568,31744
2,65472,65408,65472,65408,65344,65344,65472,65472,50112,44416,36992,33216,30720,29376,28544,29376
2,65472,65408,65472,65408,65472,65472,65408,65408,50048,44416,37120,33792,30784,29376,28672,29568
2,65472,65408,65472,65472,65408,65472,65472,65472,49920,44288,37120,33408,30592,29440,28416,29504
2,65472,65408,65472,65472,65472,65472,65472,65472,50176,44288,37440,33152,30656,29504,28928,29440
2,65472,65472,65472,65472,65472,65472,65408,65344,50048,44416,36864,33280,30592,29440,28672,29312
2,65472,65408,65344,65408,65472,65344,65472,65472,49792,44288,36800,33408,30656,29504,28928,29696
2,65472,65472,65408,65344,64256,64128,64256,64704,45632,38784,32704,31936,29888,29248,29184,30464
2,65472,65472,65472,65408,60672,60736,61120,60992,40192,33408,31232,31296,29824,29504,29824,31744
2,65472,65472,65472,65344,60736,60608,60992,61056,39872,33344,31040,30784,29952,29184,29504,32064
3,65088,65472,65472,65472,65472,65472,65408,65472,60800,56384,52160,46592,39680,33920,30528,29632
3,65408,65472,65408,65408,65472,65344,65408,65472,61120,56448,52096,46400,39360,33856,30720,29696
3,65472,65472,65344,65344,65472,65472,65472,65472,59008,54464,49984,44032,36544,32896,30400,29952
3,65472,65408,65472,65472,65472,65472,65472,65472,58944,54720,50112,43840,35968,32448,29952,29184
3,65408,65408,65472,65408,65472,65408,65408,65408,59392,55104,50112,44096,36096,32576,30144,29184
3,65472,65472,65408,65472,65408,65344,65344,65408,59264,54784,50240,44544,36608,32896,30336,29312
3,65472,65408,65472,65472,65472,65472,65472,65472,60224,55424,50752,44992,38016,32832,30208,29888
3,65472,65472,65408,65408,65472,65344,65472,65472,59712,55296,50752,45248,37504,33024,30080,29312
3,65408,65472,65472,65472,65472,65472,65408,65408,59712,55424,50688,45440,37696,33152,30144,29184
3,65472,65472,65408,65472,65408,65408,65472,65472,59712,55872,50816,45184,37632,33152,30272,29120
